Year,State,Red,Western Grey,Eastern Grey,Wallaroo
2011,South Australia,1158000,674800,0,494800
2011,Western Australia,638185,1177534,0,0
2011,New South Wales,3972522,496059,5258104,88430
2011,Queensland,5745591,0,10799679,3799973
2010,South Australia,1074000,720000,0,411000
2010,Western Australia,850731,1407376,0,0
2010,New South Wales,3013908,662982,4756792,88430
2010,Queensland,3603509,0,6652443,1916855
2009,South Australia,1031000,658000,0,465000
2009,Western Australia,904506,1653464,0,0
2009,New South Wales,2456795,722255,3909270,114966
2009,Queensland,5004684,0,7714654,2405729
2008,South Australia,1116000,625000,0,505000
2008,Western Australia,755196,1264929,0,0
2008,New South Wales,2869709,989559,3035904,114966
2008,Queensland,4551999,0,7327249,2740994
2007,South Australia,962000,535000,0,406000
2007,Western Australia,723880,1893295,0,0
2007,New South Wales,2524448,726363,3036020,114966
2007,Queensland,3435635,0,7307595,2343408
2006,South Australia,1149000,576000,0,488000
2006,Western Australia,843900,1412700,0,0
2006,New South Wales,2182788,653524,2936255,208104
2006,Queensland,3717086,0,7488671,1950901
2005,South Australia,1052000,550000,0,467000
2005,Western Australia,1163300,1473500,0,0
2005,New South Wales,2241497,602208,2670822,208104
2005,Queensland,3296450,0,8205676,2705734
2004,South Australia,1188000,689000,0,520000
2004,Western Australia,1617445,1433900,0,0
2004,New South Wales,2508236,896420,3328133,208104
2004,Queensland,2673569,0,7783707,2468407
2003,South Australia,994000,679000,0,390000
2003,Western Australia,1746500,666900,0,0
2003,New South Wales,2235114,1265031,4627831,220738
2003,Queensland,3752242,0,9247997,2389168
2002,South Australia,1546000,810000,0,388000
2002,Western Australia,1750100,566700,0,0
2002,New South Wales,4798558,2387589,8293707,448750
2002,Queensland,5539158,0,15089542,2227428
2001,South Australia,1775000,751000,0,401000
2001,Western Australia,1687100,642380,0,168000
2001,New South Wales,5121413,2031612,6829471,448750
2001,Queensland,8851000,0,22891800,5831500
